timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1590031618017,748648000,192.168.137.128 Network I/O,,,,,true,,0,0,0,0,0,0,0
1590031618018,100000,192.168.137.128 CPU,,,,,true,,0,0,0,0,0,0,0
1590031618018,72172,192.168.137.128 Memory,,,,,true,,0,0,0,0,0,0,0
1590031618018,44,192.168.137.128 Disks I/O,,,,,true,,0,0,0,0,0,0,0
1590031619018,749731000,192.168.137.128 Network I/O,,,,,true,,0,0,0,0,0,0,0
1590031619019,100000,192.168.137.128 CPU,,,,,true,,0,0,0,0,0,0,0
1590031619019,72173,192.168.137.128 Memory,,,,,true,,0,0,0,0,0,0,0
1590031619019,32,192.168.137.128 Disks I/O,,,,,true,,0,0,0,0,0,0,0
1590031620019,233131000,192.168.137.128 Network I/O,,,,,true,,0,0,0,0,0,0,0
1590031620020,100000,192.168.137.128 CPU,,,,,true,,0,0,0,0,0,0,0
1590031620020,72297,192.168.137.128 Memory,,,,,true,,0,0,0,0,0,0,0
1590031620020,16,192.168.137.128 Disks I/O,,,,,true,,0,0,0,0,0,0,0
1590031621020,520897000,192.168.137.128 Network I/O,,,,,true,,0,0,0,0,0,0,0
1590031621021,100000,192.168.137.128 CPU,,,,,true,,0,0,0,0,0,0,0
1590031621021,72219,192.168.137.128 Memory,,,,,true,,0,0,0,0,0,0,0
1590031621021,60,192.168.137.128 Disks I/O,,,,,true,,0,0,0,0,0,0,0
1590031622021,754323000,192.168.137.128 Network I/O,,,,,true,,0,0,0,0,0,0,0
1590031622021,100000,192.168.137.128 CPU,,,,,true,,0,0,0,0,0,0,0
1590031622021,72241,192.168.137.128 Memory,,,,,true,,0,0,0,0,0,0,0
1590031622021,84,192.168.137.128 Disks I/O,,,,,true,,0,0,0,0,0,0,0
1590031623022,754730000,192.168.137.128 Network I/O,,,,,true,,0,0,0,0,0,0,0
1590031623023,100000,192.168.137.128 CPU,,,,,true,,0,0,0,0,0,0,0
1590031623023,72287,192.168.137.128 Memory,,,,,true,,0,0,0,0,0,0,0
1590031623023,52,192.168.137.128 Disks I/O,,,,,true,,0,0,0,0,0,0,0
1590031624024,237259000,192.168.137.128 Network I/O,,,,,true,,0,0,0,0,0,0,0
1590031624024,100000,192.168.137.128 CPU,,,,,true,,0,0,0,0,0,0,0
1590031624024,72341,192.168.137.128 Memory,,,,,true,,0,0,0,0,0,0,0
1590031624024,16,192.168.137.128 Disks I/O,,,,,true,,0,0,0,0,0,0,0
1590031625024,282417000,192.168.137.128 Network I/O,,,,,true,,0,0,0,0,0,0,0
1590031625024,100000,192.168.137.128 CPU,,,,,true,,0,0,0,0,0,0,0
1590031625024,72312,192.168.137.128 Memory,,,,,true,,0,0,0,0,0,0,0
1590031625024,32,192.168.137.128 Disks I/O,,,,,true,,0,0,0,0,0,0,0
1590031626025,519912000,192.168.137.128 Network I/O,,,,,true,,0,0,0,0,0,0,0
1590031626025,100000,192.168.137.128 CPU,,,,,true,,0,0,0,0,0,0,0
1590031626025,72347,192.168.137.128 Memory,,,,,true,,0,0,0,0,0,0,0
1590031626025,24,192.168.137.128 Disks I/O,,,,,true,,0,0,0,0,0,0,0
1590031627026,752776000,192.168.137.128 Network I/O,,,,,true,,0,0,0,0,0,0,0
1590031627026,98989,192.168.137.128 CPU,,,,,true,,0,0,0,0,0,0,0
1590031627026,72411,192.168.137.128 Memory,,,,,true,,0,0,0,0,0,0,0
1590031627026,32,192.168.137.128 Disks I/O,,,,,true,,0,0,0,0,0,0,0
1590031628026,243073000,192.168.137.128 Network I/O,,,,,true,,0,0,0,0,0,0,0
1590031628026,100000,192.168.137.128 CPU,,,,,true,,0,0,0,0,0,0,0
1590031628026,72593,192.168.137.128 Memory,,,,,true,,0,0,0,0,0,0,0
1590031628026,48,192.168.137.128 Disks I/O,,,,,true,,0,0,0,0,0,0,0
1590031629028,760077000,192.168.137.128 Network I/O,,,,,true,,0,0,0,0,0,0,0
1590031629028,100000,192.168.137.128 CPU,,,,,true,,0,0,0,0,0,0,0
1590031629028,72495,192.168.137.128 Memory,,,,,true,,0,0,0,0,0,0,0
1590031629028,40,192.168.137.128 Disks I/O,,,,,true,,0,0,0,0,0,0,0
1590031630029,755903000,192.168.137.128 Network I/O,,,,,true,,0,0,0,0,0,0,0
1590031630029,100000,192.168.137.128 CPU,,,,,true,,0,0,0,0,0,0,0
1590031630029,72504,192.168.137.128 Memory,,,,,true,,0,0,0,0,0,0,0
1590031630029,16,192.168.137.128 Disks I/O,,,,,true,,0,0,0,0,0,0,0
1590031631030,244699000,192.168.137.128 Network I/O,,,,,true,,0,0,0,0,0,0,0
1590031631030,100000,192.168.137.128 CPU,,,,,true,,0,0,0,0,0,0,0
1590031631031,72856,192.168.137.128 Memory,,,,,true,,0,0,0,0,0,0,0
1590031631031,72,192.168.137.128 Disks I/O,,,,,true,,0,0,0,0,0,0,0
1590031632031,60000,192.168.137.128 Network I/O,,,,,true,,0,0,0,0,0,0,0
1590031632031,100000,192.168.137.128 CPU,,,,,true,,0,0,0,0,0,0,0
1590031632031,73468,192.168.137.128 Memory,,,,,true,,0,0,0,0,0,0,0
1590031632031,0,192.168.137.128 Disks I/O,,,,,true,,0,0,0,0,0,0,0
1590031633032,786144000,192.168.137.128 Network I/O,,,,,true,,0,0,0,0,0,0,0
1590031633032,100000,192.168.137.128 CPU,,,,,true,,0,0,0,0,0,0,0
1590031633032,73897,192.168.137.128 Memory,,,,,true,,0,0,0,0,0,0,0
1590031633032,24,192.168.137.128 Disks I/O,,,,,true,,0,0,0,0,0,0,0
1590031634033,60000,192.168.137.128 Network I/O,,,,,true,,0,0,0,0,0,0,0
1590031634033,99009,192.168.137.128 CPU,,,,,true,,0,0,0,0,0,0,0
1590031634033,74226,192.168.137.128 Memory,,,,,true,,0,0,0,0,0,0,0
1590031634033,8,192.168.137.128 Disks I/O,,,,,true,,0,0,0,0,0,0,0
1590031635034,478630000,192.168.137.128 Network I/O,,,,,true,,0,0,0,0,0,0,0
1590031635034,100000,192.168.137.128 CPU,,,,,true,,0,0,0,0,0,0,0
1590031635034,73813,192.168.137.128 Memory,,,,,true,,0,0,0,0,0,0,0
1590031635034,16,192.168.137.128 Disks I/O,,,,,true,,0,0,0,0,0,0,0
1590031636035,765009000,192.168.137.128 Network I/O,,,,,true,,0,0,0,0,0,0,0
1590031636035,100000,192.168.137.128 CPU,,,,,true,,0,0,0,0,0,0,0
1590031636035,73843,192.168.137.128 Memory,,,,,true,,0,0,0,0,0,0,0
1590031636035,72,192.168.137.128 Disks I/O,,,,,true,,0,0,0,0,0,0,0
1590031637036,759273000,192.168.137.128 Network I/O,,,,,true,,0,0,0,0,0,0,0
1590031637036,100000,192.168.137.128 CPU,,,,,true,,0,0,0,0,0,0,0
1590031637037,73845,192.168.137.128 Memory,,,,,true,,0,0,0,0,0,0,0
1590031637037,32,192.168.137.128 Disks I/O,,,,,true,,0,0,0,0,0,0,0
1590031638038,527002000,192.168.137.128 Network I/O,,,,,true,,0,0,0,0,0,0,0
1590031638086,100000,192.168.137.128 CPU,,,,,true,,0,0,0,0,0,0,0
1590031638086,73878,192.168.137.128 Memory,,,,,true,,0,0,0,0,0,0,0
1590031638086,48,192.168.137.128 Disks I/O,,,,,true,,0,0,0,0,0,0,0
1590031639086,245942000,192.168.137.128 Network I/O,,,,,true,,0,0,0,0,0,0,0
1590031639086,100000,192.168.137.128 CPU,,,,,true,,0,0,0,0,0,0,0
1590031639086,73876,192.168.137.128 Memory,,,,,true,,0,0,0,0,0,0,0
1590031639086,32,192.168.137.128 Disks I/O,,,,,true,,0,0,0,0,0,0,0
1590031640087,768708000,192.168.137.128 Network I/O,,,,,true,,0,0,0,0,0,0,0
1590031640087,100000,192.168.137.128 CPU,,,,,true,,0,0,0,0,0,0,0
1590031640087,73988,192.168.137.128 Memory,,,,,true,,0,0,0,0,0,0,0
1590031640087,64,192.168.137.128 Disks I/O,,,,,true,,0,0,0,0,0,0,0
1590031641088,769993000,192.168.137.128 Network I/O,,,,,true,,0,0,0,0,0,0,0
1590031641088,100000,192.168.137.128 CPU,,,,,true,,0,0,0,0,0,0,0
1590031641088,73999,192.168.137.128 Memory,,,,,true,,0,0,0,0,0,0,0
1590031641088,116,192.168.137.128 Disks I/O,,,,,true,,0,0,0,0,0,0,0
1590031642088,771174000,192.168.137.128 Network I/O,,,,,true,,0,0,0,0,0,0,0
1590031642089,100000,192.168.137.128 CPU,,,,,true,,0,0,0,0,0,0,0
1590031642089,74079,192.168.137.128 Memory,,,,,true,,0,0,0,0,0,0,0
1590031642089,52,192.168.137.128 Disks I/O,,,,,true,,0,0,0,0,0,0,0
1590031643089,772407000,192.168.137.128 Network I/O,,,,,true,,0,0,0,0,0,0,0
1590031643089,100000,192.168.137.128 CPU,,,,,true,,0,0,0,0,0,0,0
1590031643089,74104,192.168.137.128 Memory,,,,,true,,0,0,0,0,0,0,0
1590031643089,68,192.168.137.128 Disks I/O,,,,,true,,0,0,0,0,0,0,0
1590031644089,486766000,192.168.137.128 Network I/O,,,,,true,,0,0,0,0,0,0,0
1590031644090,100000,192.168.137.128 CPU,,,,,true,,0,0,0,0,0,0,0
1590031644090,74168,192.168.137.128 Memory,,,,,true,,0,0,0,0,0,0,0
1590031644090,84,192.168.137.128 Disks I/O,,,,,true,,0,0,0,0,0,0,0
1590031645090,286934000,192.168.137.128 Network I/O,,,,,true,,0,0,0,0,0,0,0
1590031645091,100000,192.168.137.128 CPU,,,,,true,,0,0,0,0,0,0,0
1590031645091,74014,192.168.137.128 Memory,,,,,true,,0,0,0,0,0,0,0
1590031645091,8,192.168.137.128 Disks I/O,,,,,true,,0,0,0,0,0,0,0
